time,dim,sample
237.2978641986847,1000,1000
250.2070152759552,1000,2000
265.58316802978516,1000,3000
282.0711305141449,1000,4000
298.85045862197876,1000,5000
327.728289604187,2000,1000
358.7549147605896,2000,2000
388.38787627220154,2000,3000
424.26439476013184,2000,4000
457.39531326293945,2000,5000
452.97647643089294,3000,1000
495.74972653388977,3000,2000
545.0594003200531,3000,3000
593.6318461894989,3000,4000
640.7064394950867,3000,5000
621.2583405971527,4000,1000
688.7278039455414,4000,2000
754.4224834442139,4000,3000
821.238550901413,4000,4000
889.5787837505341,4000,5000
835.3387765884399,5000,1000
951.6887516975403,5000,2000
1030.159250497818,5000,3000
1121.0319538116455,5000,4000
1217.4909195899963,5000,5000
